Transaction Detail by Account - copy,,,,,,
Pacific Crest Smiles,,,,,,
All Dates,,,,,,

,Num,Name,Class full name,Account full name,Vendor,Account full name
10120 Accounts Receivable Clearing,,,,,,
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
,,,Corp-RCM,10000 Cash and Cash Equivalents:10010 Checking - CTR Services Northwest,,10120 Accounts Receivable Clearing
